,seqnames,start,end,width,strand,gene_id,gene_name
191285,chrI,15000873,15001872,1000,+,191285,mtd-1
175230,chrIII,764196,765195,1000,+,175230,ptl-1
174343,chrII,8431863,8432862,1000,-,174343,acp-2
182131,chrX,11268959,11269958,1000,-,182131,C03A3.3
180316,chrV,20094950,20095949,1000,-,180316,Y113G7A.15
179382,chrV,9915049,9916048,1000,-,179382,mec-9
180701,chrX,4274167,4275166,1000,-,180701,mec-18
188219,chrX,2443397,2444396,1000,-,188219,T07D1.3
182694,chrX,17616751,17617750,1000,+,182694,ncs-7
177596,chrIV,7987141,7988140,1000,-,177596,mec-17
192080,chrV,6551331,6552330,1000,+,192080,twk-10
185657,chrIV,8638849,8639848,1000,-,185657,F42A9.9
181101,chrX,8470188,8471187,1000,-,181101,mec-10
181728,chrX,16807042,16808041,1000,-,181728,mec-4
183626,chrI,12563512,12564511,1000,+,183626,mec-19
175052,chrII,14009701,14010700,1000,+,175052,F01D5.8
187297,chrX,13722849,13723848,1000,-,187297,poml-1
176694,chrIII,12784060,12785059,1000,+,176694,lgc-37
190554,chrIV,10965649,10966648,1000,+,190554,Y69E1A.8
181036,chrX,7776516,7777515,1000,-,181036,mec-7
188259,chrV,6955620,6956619,1000,+,188259,mec-1
180826,chrX,5574934,5575933,1000,+,180826,mec-2
176691,chrIII,12779625,12780624,1000,-,176691,gab-1
177938,chrIV,10461747,10462746,1000,-,177938,mec-3
180404,chrX,530140,531139,1000,-,180404,ugt-46
181005,chrX,7485127,7486126,1000,+,181005,gly-12
183299,chrV,1505295,1506294,1000,+,183299,sru-28
187855,chrIII,7561105,7562104,1000,+,187855,lgc-12
174400,chrII,8758563,8759562,1000,-,174400,fut-1
172578,chrI,7994771,7995770,1000,+,172578,C54G4.5
184441,chrIV,11003564,11004563,1000,+,184441,F13H10.1
175419,chrIII,3137743,3138742,1000,-,175419,mec-12
177774,chrIV,9427660,9428659,1000,+,177774,F59B8.1
185423,chrIII,7192883,7193882,1000,-,185423,mec-14
179245,chrV,8621275,8622274,1000,-,179245,F41E6.11
177098,chrIV,3303005,3304004,1000,+,177098,W08E12.3
190681,chrIV,15360562,15361561,1000,+,190681,cpna-4
183300,chrV,1498440,1499439,1000,+,183300,sru-27
172459,chrI,7207586,7208585,1000,-,172459,mlt-2
184530,chrII,13243026,13244025,1000,-,184530,F15D4.4
173125,chrI,12550544,12551543,1000,+,173125,W02D9.10
189292,chrIV,3299821,3300820,1000,+,189292,W08E12.4
177594,chrIV,7979000,7979999,1000,+,177594,unc-24
173621,chrII,2769123,2770122,1000,-,173621,F08D12.7
178921,chrV,5393001,5394000,1000,-,178921,C35A11.4
179404,chrV,10084256,10085255,1000,+,179404,R04B5.6
184280,chrV,16161665,16162664,1000,+,184280,F10A3.11
188477,chrIV,9784659,9785658,1000,-,188477,sre-4
187889,chrV,12905153,12906152,1000,-,187889,ttr-28
176803,chrIII,13667703,13668702,1000,-,176803,flp-15
183012,chrII,6294121,6295120,1000,-,183012,mps-1
173999,chrII,5895151,5896150,1000,+,173999,F59G1.4
180443,chrX,924508,925507,1000,-,180443,pifk-1
181678,chrX,15942942,15943941,1000,+,181678,mec-5
181386,chrX,12255583,12256582,1000,+,181386,E01G6.2
191278,chrI,8261033,8262032,1000,+,191278,ZK265.7
178811,chrV,4122455,4123454,1000,-,178811,phat-5
4363103,chrV,1317898,1318897,1000,-,4363103,F16B3.3
187505,chrX,13566368,13567367,1000,-,187505,R01E6.2
184715,chrIV,12167228,12168227,1000,+,184715,F20B10.3
182091,chrI,7209685,7210684,1000,-,182091,C01H6.3
187147,chrV,3200412,3201411,1000,-,187147,K08D9.4
181117,chrX,8707313,8708312,1000,+,181117,F53A9.3
188802,chrV,15464683,15465682,1000,+,188802,pqn-71
183129,chrIV,12924340,12925339,1000,-,183129,C32H11.5
172430,chrI,6973761,6974760,1000,+,172430,idhg-2
185048,chrII,8598504,8599503,1000,+,185048,F28C6.5
176204,chrIII,8588536,8589535,1000,-,176204,glr-1
184268,chrIII,8253904,8254903,1000,+,184268,F09G8.5
172797,chrI,9593065,9594064,1000,-,172797,K07A1.6
185121,chrX,11511279,11512278,1000,-,185121,F29G6.2
188309,chrII,7835089,7836088,1000,-,188309,cex-2
185748,chrII,10879868,10880867,1000,+,185748,lurp-1
177295,chrIV,5203599,5204598,1000,+,177295,tni-4
172452,chrI,7139671,7140670,1000,-,172452,K10D3.4
3565024,chrV,13345300,13346299,1000,+,3565024,twk-43
181754,chrX,17149844,17150843,1000,-,181754,T23C6.4
181286,chrX,10958511,10959510,1000,+,181286,K09C8.2
180127,chrV,16835088,16836087,1000,-,180127,tni-3
179254,chrV,8767897,8768896,1000,+,179254,B0507.3
179347,chrV,9607556,9608555,1000,+,179347,dop-2
183938,chrIII,8151403,8152402,1000,+,183938,D2007.2
185801,chrII,11055201,11056200,1000,-,185801,F45E10.2
189159,chrIV,5186555,5187554,1000,-,189159,W03F8.6
178627,chrV,1351145,1352144,1000,+,178627,glb-33
177362,chrIV,5939202,5940201,1000,-,177362,mcu-1
181689,chrX,16128743,16129742,1000,-,181689,ZK1073.1
191425,chrIV,11693527,11694526,1000,+,191425,ZK792.7
186534,chrIV,6232242,6233241,1000,+,186534,F58F9.3
178254,chrIV,13067265,13068264,1000,-,178254,col-131
189448,chrV,18776660,18777659,1000,-,189448,Y17D7B.4
180111,chrV,16595325,16596324,1000,-,180111,cpl-1
182406,chrV,18362467,18363466,1000,-,182406,C08E8.1
185844,chrII,8829173,8830172,1000,-,185844,F46C5.2
173202,chrI,13324608,13325607,1000,+,173202,gcy-35
181031,chrX,7688801,7689800,1000,-,181031,C53C9.2
183792,chrV,18825818,18826817,1000,+,183792,ncs-5
176986,chrIV,1771202,1772201,1000,+,176986,Y41D4A.1
173992,chrII,5841082,5842081,1000,-,173992,lec-5
191960,chrV,8183375,8184374,1000,+,191960,srp-8
184221,chrX,10159580,10160579,1000,+,184221,F09B9.4
187890,chrV,12906716,12907715,1000,-,187890,ttr-29
173319,chrI,14630949,14631948,1000,-,173319,lev-11
177326,chrIV,5415754,5416753,1000,-,177326,spp-7
176881,chrIV,547302,548301,1000,+,176881,F56A11.4
182491,chrV,8584505,8585504,1000,-,182491,C10B5.3
179785,chrV,12997498,12998497,1000,-,179785,far-3
188427,chrV,11486134,11487133,1000,+,188427,T11F9.10
187137,chrIV,10685824,10686823,1000,-,187137,K08C7.6
184134,chrV,7643423,7644422,1000,-,184134,F07C4.11
191515,chrIII,3921432,3922431,1000,+,191515,nit-1
175114,chrII,14537485,14538484,1000,-,175114,clec-147
189803,chrIV,15175499,15176498,1000,-,189803,Y40H7A.4
183891,chrI,4563141,4564140,1000,+,183891,pqn-24
175196,chrIII,381298,382297,1000,-,175196,gsto-3
178786,chrV,3685706,3686705,1000,-,178786,W08A12.2
182920,chrX,1249736,1250735,1000,-,182920,C25G6.4
183765,chrII,5271259,5272258,1000,-,183765,drn-1
178256,chrIV,13085983,13086982,1000,+,178256,spin-2
187933,chrII,8737474,8738473,1000,-,187933,T01B7.8
177372,chrIV,6093606,6094605,1000,-,177372,cpi-1
181191,chrX,9789135,9790134,1000,-,181191,F36G3.1
192066,chrX,6995927,6996926,1000,-,192066,tsp-16
182147,chrX,6363460,6364459,1000,+,182147,C03B1.4
173138,chrI,12678201,12679200,1000,+,173138,ndx-1
178093,chrIV,11648763,11649762,1000,-,178093,ZK809.8
171962,chrI,3852856,3853855,1000,+,171962,T03F1.11
180933,chrX,6617985,6618984,1000,+,180933,kqt-1
176774,chrIII,13466195,13467194,1000,-,176774,cdk-5
190105,chrV,14728642,14729641,1000,+,190105,oig-3
181711,chrX,16445246,16446245,1000,+,181711,F38E9.5
185535,chrX,14700793,14701792,1000,+,185535,F40E10.5
180946,chrX,6789489,6790488,1000,-,180946,sgca-1
186216,chrX,13605825,13606824,1000,+,186216,F54B11.9
172031,chrI,4279578,4280577,1000,-,172031,Y47D9A.5
178668,chrV,1871700,1872699,1000,-,178668,T10B5.4
178864,chrV,4730107,4731106,1000,-,178864,tig-2
174318,chrII,8184394,8185393,1000,+,174318,cct-1
180703,chrX,4285955,4286954,1000,+,180703,cka-2
181217,chrX,10069726,10070725,1000,-,181217,ZC373.4
178922,chrV,5404354,5405353,1000,+,178922,dmsr-7
182011,chrV,8753948,8754947,1000,+,182011,B0507.4
185888,chrI,3964181,3965180,1000,-,185888,F47B3.5
188109,chrII,11256064,11257063,1000,+,188109,T05B9.2
173852,chrII,4943937,4944936,1000,-,173852,mdt-4
178870,chrV,4800134,4801133,1000,+,178870,R02F11.1
181302,chrX,11125493,11126492,1000,-,181302,alr-1
188912,chrIII,6464172,6465171,1000,+,188912,nduf-2.2
189445,chrV,18790035,18791034,1000,+,189445,nhr-231
175508,chrIII,3926099,3927098,1000,-,175508,ZK1058.9
184747,chrV,15528350,15529349,1000,+,184747,srh-276
179021,chrV,6374917,6375916,1000,-,179021,F13H6.5
174612,chrII,10465956,10466955,1000,+,174612,tnc-2
179363,chrV,9713553,9714552,1000,-,179363,F40F9.10
181796,chrIV,17490462,17491461,1000,-,181796,nas-6
176275,chrIII,9005873,9006872,1000,-,176275,rab-6.1
181199,chrX,9851175,9852174,1000,+,181199,lec-7
171988,chrI,4031630,4032629,1000,-,171988,unc-73
183546,chrX,8210745,8211744,1000,-,183546,cdd-1
174938,chrII,12954645,12955644,1000,-,174938,Y38F1A.1
185632,chrII,6749475,6750474,1000,-,185632,F41G3.10
183524,chrI,5043056,5044055,1000,-,183524,C46H11.7
189332,chrI,2853799,2854798,1000,-,189332,W10C8.4
178144,chrIV,12056620,12057619,1000,-,178144,K08E4.2
