,seqnames,start,end,width,strand,gene_id,gene_name
191285,chrI,15001373,15001872,500,+,191285,mtd-1
175230,chrIII,764696,765195,500,+,175230,ptl-1
174343,chrII,8431863,8432362,500,-,174343,acp-2
182131,chrX,11268959,11269458,500,-,182131,C03A3.3
180316,chrV,20094950,20095449,500,-,180316,Y113G7A.15
179382,chrV,9915049,9915548,500,-,179382,mec-9
180701,chrX,4274167,4274666,500,-,180701,mec-18
188219,chrX,2443397,2443896,500,-,188219,T07D1.3
182694,chrX,17617251,17617750,500,+,182694,ncs-7
177596,chrIV,7987141,7987640,500,-,177596,mec-17
192080,chrV,6551831,6552330,500,+,192080,twk-10
185657,chrIV,8638849,8639348,500,-,185657,F42A9.9
181101,chrX,8470188,8470687,500,-,181101,mec-10
181728,chrX,16807042,16807541,500,-,181728,mec-4
183626,chrI,12564012,12564511,500,+,183626,mec-19
175052,chrII,14010201,14010700,500,+,175052,F01D5.8
187297,chrX,13722849,13723348,500,-,187297,poml-1
176694,chrIII,12784560,12785059,500,+,176694,lgc-37
190554,chrIV,10966149,10966648,500,+,190554,Y69E1A.8
181036,chrX,7776516,7777015,500,-,181036,mec-7
188259,chrV,6956120,6956619,500,+,188259,mec-1
180826,chrX,5575434,5575933,500,+,180826,mec-2
176691,chrIII,12779625,12780124,500,-,176691,gab-1
177938,chrIV,10461747,10462246,500,-,177938,mec-3
180404,chrX,530140,530639,500,-,180404,ugt-46
181005,chrX,7485627,7486126,500,+,181005,gly-12
183299,chrV,1505795,1506294,500,+,183299,sru-28
187855,chrIII,7561605,7562104,500,+,187855,lgc-12
174400,chrII,8758563,8759062,500,-,174400,fut-1
172578,chrI,7995271,7995770,500,+,172578,C54G4.5
184441,chrIV,11004064,11004563,500,+,184441,F13H10.1
175419,chrIII,3137743,3138242,500,-,175419,mec-12
177774,chrIV,9428160,9428659,500,+,177774,F59B8.1
185423,chrIII,7192883,7193382,500,-,185423,mec-14
179245,chrV,8621275,8621774,500,-,179245,F41E6.11
177098,chrIV,3303505,3304004,500,+,177098,W08E12.3
